candidate_id,rank,score,reasoning
CAND_0000031,1,0.6992,"NLP Engineer with 6.0yrs experience at Swiggy; based in Hyderabad, Telangana, India. strong JD-match skills: Embeddings, Pinecone, Hugging Face Transformers. open-to-work; GitHub 33/100 (moderate); recruiter response rate 91%"
CAND_0000001,2,0.6129,"Backend Engineer with 6.9yrs experience at Mindtree; based in Toronto, Canada. strong JD-match skills: TTS, Speech Recognition, Milvus. open-to-work. concern: low GitHub activity (9/100)"
CAND_0000010,3,0.3370,"Data Engineer with 4.6yrs experience at Ola; based in London, UK. strong JD-match skills: GANs, Object Detection, BM25. GitHub 34/100 (moderate). concern: not marked open-to-work, 120d notice period"
CAND_0000027,4,0.3329,"DevOps Engineer with 3.9yrs experience at Infosys; based in Kolkata, West Bengal, India. strong JD-match skills: Weights & Biases, Data Science, Information Retrieval. open-to-work; GitHub 39/100 (moderate). concern: 90d notice period"
CAND_0000015,5,0.2733,"Software Engineer with 5.4yrs experience at Razorpay; based in Trivandrum, Kerala, India. strong JD-match skills: Qdrant, PyTorch, Weights & Biases. open-to-work. concern: 90d notice period, no GitHub linked"
CAND_0000038,6,0.2720,"DevOps Engineer with 6.7yrs experience at Swiggy; based in Coimbatore, Tamil Nadu, India. strong JD-match skills: Weaviate, Azure, MLOps. open-to-work; GitHub 38/100 (moderate). concern: 90d notice period"
CAND_0000025,7,0.2678,"Frontend Engineer with 7.3yrs experience at Tech Mahindra; based in Vizag, Andhra Pradesh, India. strong JD-match skills: LangChain, Apache Flink, Spark. open-to-work; recruiter response rate 74%. concern: 120d notice period, no GitHub linked"
CAND_0000014,8,0.2658,"Software Engineer with 8.4yrs experience at Zomato; based in Hyderabad, Telangana, India. strong JD-match skills: OpenSearch, FAISS, GANs. recruiter response rate 80%. concern: not marked open-to-work, 90d notice period"
CAND_0000019,9,0.2606,"Business Analyst with 6.5yrs experience at Wayne Enterprises; based in Trivandrum, Kerala, India. strong JD-match skills: AWS, Azure. concern: not marked open-to-work, no GitHub linked"
CAND_0000007,10,0.2595,"Civil Engineer with 5.5yrs experience at Wipro; based in Gurgaon, Haryana, India. strong JD-match skills: Spark, Apache Beam. 30d notice. concern: not marked open-to-work, no GitHub linked"
CAND_0000043,11,0.2548,".NET Developer with 8.3yrs experience at Swiggy; based in Chandigarh, Chandigarh, India. strong JD-match skills: Elasticsearch, Image Classification, Reinforcement Learning. concern: not marked open-to-work, 120d notice period"
CAND_0000016,12,0.2493,"Mechanical Engineer with 5.3yrs experience at Infosys; based in Gurgaon, Haryana, India. strong JD-match skills: SQL. open-to-work; GitHub 43/100 (moderate)"
CAND_0000035,13,0.2466,"Software Engineer with 4.3yrs experience at Globex Inc; based in Hyderabad, Telangana, India. strong JD-match skills: BentoML, PostgreSQL, Kafka. concern: not marked open-to-work, no GitHub linked"
CAND_0000033,14,0.2310,"Graphic Designer with 8.6yrs experience at Wipro; based in Pune, Maharashtra, India. strong JD-match skills: Snowflake, Airflow, Kubernetes. open-to-work; GitHub 38/100 (moderate); 30d notice. concern: low recruiter response rate (8%)"
CAND_0000048,15,0.2283,"Full Stack Developer with 9.7yrs experience at CRED; based in Hyderabad, Telangana, India. strong JD-match skills: AWS. open-to-work. concern: 120d notice period, no GitHub linked"
CAND_0000032,16,0.2242,"Cloud Engineer with 8.1yrs experience at Cognizant; based in Gurgaon, Haryana, India. strong JD-match skills: Speech Recognition, Embeddings, Spark. concern: not marked open-to-work, 150d notice period"
CAND_0000024,17,0.2155,"HR Manager with 7.5yrs experience at TCS; based in Trivandrum, Kerala, India. strong JD-match skills: Kubernetes, Docker. GitHub 46/100 (moderate); recruiter response rate 78%. concern: not marked open-to-work"
CAND_0000022,18,0.2117,"Mechanical Engineer with 1.1yrs experience at Hooli; based in Sydney, Australia. strong JD-match skills: AWS, SQL. open-to-work. concern: 150d notice period, no GitHub linked"
CAND_0000020,19,0.2101,"Mechanical Engineer with 6.3yrs experience at Wipro; based in Ahmedabad, Gujarat, India. strong JD-match skills: Weights & Biases, GCP. 30d notice. concern: not marked open-to-work, no GitHub linked"
CAND_0000023,20,0.2100,"Software Engineer with 3.7yrs experience at Acme Corp; based in New York, USA. GitHub 48/100 (moderate); 30d notice. concern: not marked open-to-work"
CAND_0000005,21,0.2056,"HR Manager with 11.0yrs experience at Stark Industries; based in Gurgaon, Haryana, India. strong JD-match skills: Image Classification, Apache Flink, SQL. open-to-work; 30d notice. concern: no GitHub linked"
CAND_0000044,22,0.2047,"DevOps Engineer with 5.7yrs experience at Tech Mahindra; based in Indore, Madhya Pradesh, India. strong JD-match skills: dbt, Python, Databricks. concern: not marked open-to-work, 90d notice period"
CAND_0000026,23,0.2035,"Project Manager with 6.8yrs experience at Initech; based in Kochi, Kerala, India. strong JD-match skills: Kubernetes, Airflow, Apache Beam. 30d notice. concern: not marked open-to-work, no GitHub linked"
CAND_0000049,24,0.2033,"Business Analyst with 11.8yrs experience at Wayne Enterprises; based in Berlin, Germany. strong JD-match skills: Kubernetes, Apache Beam. concern: not marked open-to-work, 120d notice period"
CAND_0000046,25,0.1972,"Marketing Manager with 7.8yrs experience at Hooli; based in London, UK. strong JD-match skills: Azure. 30d notice. concern: not marked open-to-work"
CAND_0000042,26,0.1906,"Business Analyst with 5.0yrs experience at Wayne Enterprises; based in Berlin, Germany. 30d notice. concern: not marked open-to-work, no GitHub linked"
CAND_0000036,27,0.1874,"Content Writer with 11.3yrs experience at Initech; based in Trivandrum, Kerala, India. strong JD-match skills: Object Detection. open-to-work. concern: no GitHub linked"
CAND_0000029,28,0.1866,"Business Analyst with 7.2yrs experience at Wipro; based in Noida, Uttar Pradesh, India. GitHub 42/100 (moderate). concern: not marked open-to-work, low recruiter response rate (12%)"
CAND_0000018,29,0.1768,"Frontend Engineer with 6.6yrs experience at Acme Corp; based in Bhubaneswar, Odisha, India. concern: not marked open-to-work, 120d notice period"
CAND_0000008,30,0.1747,"Operations Manager with 3.6yrs experience at Wipro; based in Noida, Uttar Pradesh, India. strong JD-match skills: Kubernetes, Spark. concern: not marked open-to-work, 90d notice period"
CAND_0000039,31,0.1714,"Mechanical Engineer with 3.9yrs experience at Acme Corp; based in Bhubaneswar, Odisha, India. strong JD-match skills: Spark, AWS. 30d notice. concern: not marked open-to-work, no GitHub linked"
CAND_0000002,32,0.1654,"Operations Manager with 12.5yrs experience at Wipro; based in Chennai, Tamil Nadu, India. strong JD-match skills: Feature Engineering, GCP, Kafka. open-to-work. concern: no GitHub linked"
CAND_0000030,33,0.1634,"Content Writer with 10.0yrs experience at Dunder Mifflin; based in Kochi, Kerala, India. strong JD-match skills: Apache Beam. concern: not marked open-to-work"
CAND_0000004,34,0.1626,"Operations Manager with 3.8yrs experience at Dunder Mifflin; based in Sydney, Australia. strong JD-match skills: Airflow, Object Detection. concern: not marked open-to-work, 120d notice period"
CAND_0000011,35,0.1597,"QA Engineer with 2.0yrs experience at Pied Piper; based in Hyderabad, Telangana, India. strong JD-match skills: PostgreSQL, Hugging Face Transformers, Azure. GitHub 32/100 (moderate). concern: not marked open-to-work, 90d notice period"
CAND_0000013,36,0.1551,"Civil Engineer with 1.1yrs experience at Globex Inc; based in Dubai, UAE. strong JD-match skills: Spark, Snowflake, GCP. open-to-work; GitHub 36/100 (moderate); 30d notice. concern: limited experience (1.1yrs)"
CAND_0000047,37,0.1543,"Project Manager with 2.4yrs experience at TCS; based in Kochi, Kerala, India. strong JD-match skills: SQL. concern: not marked open-to-work, 90d notice period"
CAND_0000009,38,0.1478,"Content Writer with 11.0yrs experience at Dunder Mifflin; based in New York, USA. strong JD-match skills: Snowflake. concern: not marked open-to-work, 150d notice period"
CAND_0000037,39,0.1405,"Mechanical Engineer with 14.3yrs experience at Stark Industries; based in Dubai, UAE. strong JD-match skills: Apache Beam, Databricks, Docker. recruiter response rate 78%; 30d notice. concern: not marked open-to-work, no GitHub linked"
CAND_0000050,40,0.1297,"Marketing Manager with 13.5yrs experience at Infosys; based in Gurgaon, Haryana, India. strong JD-match skills: Feature Engineering, Kafka. GitHub 45/100 (moderate). concern: not marked open-to-work, 90d notice period"
CAND_0000028,41,0.1284,"Operations Manager with 1.1yrs experience at Wipro; based in Dubai, UAE. strong JD-match skills: Snowflake. concern: not marked open-to-work, no GitHub linked"
CAND_0000003,42,0.1281,"Customer Support with 1.1yrs experience at TCS; based in Austin, USA. strong JD-match skills: Kubernetes, Databricks. concern: not marked open-to-work, 150d notice period"
CAND_0000012,43,0.1170,"Operations Manager with 1.1yrs experience at Stark Industries; based in Chandigarh, Chandigarh, India. strong JD-match skills: AWS, dbt, Airflow. concern: not marked open-to-work, no GitHub linked"
CAND_0000040,44,0.1107,"Customer Support with 1.6yrs experience at Globex Inc; based in Kochi, Kerala, India. strong JD-match skills: Weights & Biases, SQL, Spark. concern: not marked open-to-work, 90d notice period"
CAND_0000034,45,0.0971,"Business Analyst with 14.5yrs experience at Wipro; based in Ahmedabad, Gujarat, India. strong JD-match skills: Azure. concern: not marked open-to-work, 90d notice period"
CAND_0000006,46,0.0373,"Business Analyst with 6.0yrs experience at Wayne Enterprises; based in Austin, USA. strong JD-match skills: SQL. concern: not marked open-to-work, 150d notice period. profile contains anomalous signals — ranked low as precaution"
CAND_0000045,47,0.0349,"Marketing Manager with 12.2yrs experience at Initech; based in Indore, Madhya Pradesh, India. strong JD-match skills: Airflow, PostgreSQL, GCP. open-to-work. concern: no GitHub linked. profile contains anomalous signals — ranked low as precaution"
CAND_0000041,48,0.0310,"Business Analyst with 13.7yrs experience at Hooli; based in Delhi, Delhi, India. strong JD-match skills: Airflow, SQL, Kubernetes. open-to-work. concern: 90d notice period, no GitHub linked. profile contains anomalous signals — ranked low as precaution"
CAND_0000021,49,0.0307,"Marketing Manager with 14.5yrs experience at Wipro; based in Bhubaneswar, Odisha, India. strong JD-match skills: Fine-tuning LLMs, Embeddings, AWS. concern: not marked open-to-work, overqualified at 14.5yrs (JD targets 5–9). profile contains anomalous signals — ranked low as p..."
CAND_0000017,50,0.0227,"Customer Support with 12.3yrs experience at Wipro; based in Bangalore, Karnataka, India. strong JD-match skills: PostgreSQL, Apache Flink. concern: not marked open-to-work, 90d notice period. profile contains anomalous signals — ranked low as precaution"
